voter,position,title,author
Eimear McBride,5,Wuthering Heights,Emily Brontë
Eimear McBride,6,The Magic Mountain,Thomas Mann
Eimear McBride,7,To the Lighthouse,Virginia Woolf
Eimear McBride,8,Anna Karenina,Leo Tolstoy
Eimear McBride,9,Nineteen Eighty-Four,George Orwell
Eimear McBride,10,Moby-Dick,Herman Melville
Imogen Russell Williams,1,A Wizard of Earthsea,Ursula K. Le Guin
Imogen Russell Williams,2,Fire and Hemlock,Diana Wynne Jones
Imogen Russell Williams,3,The Lie Tree,Frances Hardinge
Imogen Russell Williams,4,Kindred,Octavia E Butler
Imogen Russell Williams,5,The Hounds of the Morrigan,Pat O'Shea
Imogen Russell Williams,6,Jane Eyre,Charlotte Brontë
Imogen Russell Williams,7,Beloved,Toni Morrison
Imogen Russell Williams,8,The Dark Is Rising,Susan Cooper
Imogen Russell Williams,9,Northern Lights,Philip Pullman
Imogen Russell Williams,10,Haroun and the Sea of Stories,Salman Rushdie
John Boyne,1,Wuthering Heights,Emily Brontë
John Boyne,2,The Slap,Christos Tsiolkas
John Boyne,3,The Cider House Rules,John Irving
John Boyne,4,David Copperfield,Charles Dickens
John Boyne,5,The Secret History,Donna Tartt
John Boyne,6,Cloudstreet,Tim Winton
John Boyne,7,Howards End,EM Forster
John Boyne,8,Lucky Jim,Kingsley Amis
John Boyne,9,The Razor's Edge,William Somerset Maugham
John Boyne,10,The Murder of Roger Ackroyd,Agatha Christie
Nina Allan,1,Austerlitz,WG Sebald
Nina Allan,2,Under the Volcano,Malcolm Lowry
Nina Allan,3,"The Sea, the Sea",Iris Murdoch
Nina Allan,4,Wuthering Heights,Emily Brontë
Nina Allan,5,Pale Fire,Vladimir Nabokov
Nina Allan,6,Falling Man,Don DeLillo
Nina Allan,7,In Cold Blood,Truman Capote
Nina Allan,8,The Affirmation,Christopher Priest
Nina Allan,9,Darkmans,Nicola Barker
Nina Allan,10,The Talented Mr Ripley,Patricia Highsmith
Salman Rushdie,1,Ulysses,James Joyce
Salman Rushdie,2,In Search of Lost Time,Marcel Proust
Salman Rushdie,3,The Trial,Franz Kafka
Salman Rushdie,4,One Hundred Years of Solitude,Gabriel García Márquez
Salman Rushdie,5,The Tin Drum,Günter Grass
Salman Rushdie,6,Beloved,Toni Morrison
Salman Rushdie,7,Don Quixote,Miguel de Cervantes
Salman Rushdie,8,Great Expectations,Charles Dickens
Salman Rushdie,9,The Master and Margarita,Mikhail Bulgakov
Salman Rushdie,10,The Age of Innocence,Edith Wharton
Nikesh Shukla,1,The Buddha of Suburbia,Hanif Kureishi
Nikesh Shukla,2,Nw,Zadie Smith
Nikesh Shukla,3,Family Life,Akhil Sharma
Nikesh Shukla,4,Sag Harbor,Colson Whitehead
Nikesh Shukla,5,Their Eyes Were Watching God,Zora Neale Hurston
Nikesh Shukla,6,Watchmen,Alan Moore
Nikesh Shukla,7,Station Eleven,Emily St. John Mandel
Nikesh Shukla,8,Problems,Jade Sharma
Nikesh Shukla,9,Breath,Tim Winton
Nikesh Shukla,10,Exit West,Mohsin Hamid
Yael van der Wouden,1,Pride and Prejudice,Jane Austen
Yael van der Wouden,2,Kindred,Octavia E Butler
Yael van der Wouden,3,Maurice,E. M. Forster
Yael van der Wouden,4,Beloved,Toni Morrison
Yael van der Wouden,5,Maus,Art Spiegelman
Yael van der Wouden,6,Bee Sting,Paul Murray
Yael van der Wouden,7,Demon Copperhead,Barbara Kingsolver
Yael van der Wouden,8,Love Medicine,Louise Erdrich
Yael van der Wouden,9,Fun Home,Alison Bechdel
Yael van der Wouden,10,Stag Dance,Torrey Peters
Benjamin Myers,1,Robinson Crusoe,Daniel Defoe
Benjamin Myers,2,Hunger,Knut Hamsun
Benjamin Myers,3,Maurice,E. M. Forster
Benjamin Myers,4,Trout Fishing in America,Richard Brautigan
Benjamin Myers,5,Union Street,Pat Barker
Benjamin Myers,6,Giovanni's Room,James Baldwin
Benjamin Myers,7,American Psycho,Bret Easton Ellis
Benjamin Myers,8,The Baron in the Trees,Italo Calvino
Benjamin Myers,9,A Month in the Country,James Lloyd Carr
Benjamin Myers,10,The Slaves of Solitude,Patrick Hamilton
Sam Leith,1,Middlemarch,George Eliot
Sam Leith,2,Heart of Darkness,Joseph Conrad
Sam Leith,3,The Portrait of a Lady,Henry James
Sam Leith,4,The End of the Affair,Graham Greene
Sam Leith,5,If on a Winter's Night a Traveller,Italo Calvino
Sam Leith,6,Slaughterhouse-Five,Kurt Vonnegut
Sam Leith,7,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne
Sam Leith,8,The Great Gatsby,F Scott Fitzgerald
Sam Leith,9,Moby-Dick,Herman Melville
Sam Leith,10,Lolita,Vladimir Nabokov
Sandra Newman,1,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne
Sandra Newman,2,Middlemarch,George Eliot
Sandra Newman,3,Palm-Wine Drinkard,Amos Tutuola
Sandra Newman,4,Mrs Dalloway,Virginia Woolf
Sandra Newman,5,Invisible Man,Ralph Ellison
Sandra Newman,6,Wolf Hall,Hilary Mantel
Sandra Newman,7,Infinite Jest,David Foster Wallace
Sandra Newman,8,Jonathan Strange & Mr. Norrell,Susanna Clarke
Sandra Newman,9,The Age of Innocence,Edith Wharton
Sandra Newman,10,Nightwood,Djuna Barnes
Chris Power,1,Moby-Dick,Herman Melville
Chris Power,2,Middlemarch,George Eliot
Chris Power,3,The Brothers Karamazov,Fyodor Dostoyevsky
Chris Power,4,Ulysses,James Joyce
Chris Power,5,2666,Roberto Bolaño
Chris Power,6,War and Peace,Leo Tolstoy
Chris Power,7,To the Lighthouse,Virginia Woolf
Chris Power,8,In Search of Lost Time,Marcel Proust
Chris Power,9,Jude the Obscure,Thomas Hardy
Chris Power,10,Septology,Jon Fosse
John Self,1,Something Happened,Joseph Heller
John Self,2,The Remains of the Day,Kazuo Ishiguro
John Self,3,Mrs Dalloway,Virginia Woolf
John Self,4,Summertime,J. M. Coetzee
John Self,5,The Beginning of Spring,Penelope Fitzgerald
John Self,6,Invisible Cities,Italo Calvino
John Self,7,Cat's Cradle,Kurt Vonnegut
John Self,8,The Prime of Miss Jean Brodie,Muriel Spark
John Self,9,A Handful of Dust,Evelyn Waugh
John Self,10,A Prayer for Owen Meany,John Irving
Shahidha Bari,1,Wuthering Heights,Emily Brontë
Shahidha Bari,2,A Passage to India,E. M. Forster
Shahidha Bari,3,Our Mutual Friend,Charles Dickens
Shahidha Bari,4,Midnight's Children,Salman Rushdie
Shahidha Bari,5,Anne of Green Gables,Lucy Maud Montgomery
Shahidha Bari,6,Go Tell It on the Mountain,James Baldwin
Shahidha Bari,7,Persuasion,Jane Austen
Shahidha Bari,8,To the Lighthouse,Virginia Woolf
Shahidha Bari,9,The Sellout,Paul Beatty
Shahidha Bari,10,"Right Ho, Jeeves",P. G. Wodehouse
Esi Edugyan,1,Pride and Prejudice,Jane Austen
Esi Edugyan,2,Middlemarch,George Eliot
Esi Edugyan,3,Nineteen Eighty-Four,George Orwell
Esi Edugyan,4,The Plague,Albert Camus
Esi Edugyan,5,Beloved,Toni Morrison
Esi Edugyan,6,A Bend in the River,V. S. Naipaul
Esi Edugyan,7,The English Patient,Michael Ondaatje
Esi Edugyan,8,Blood Meridian,Cormac McCarthy
Esi Edugyan,9,The Transit of Venus,Shirley Hazzard
Esi Edugyan,10,Those Who Leave and Those Who Stay,Elena Ferrante
Juan Gabriel Vasquez,1,Don Quixote,Miguel de Cervantes
Juan Gabriel Vasquez,2,One Hundred Years of Solitude,Gabriel García Márquez
Juan Gabriel Vasquez,3,Madame Bovary,Gustave Flaubert
Juan Gabriel Vasquez,4,Anna Karenina,Leo Tolstoy
Juan Gabriel Vasquez,5,Heart of Darkness,Joseph Conrad
Juan Gabriel Vasquez,6,In Search of Lost Time,Marcel Proust
Juan Gabriel Vasquez,7,To the Lighthouse,Virginia Woolf
Juan Gabriel Vasquez,8,Crime and Punishment,Fyodor Dostoevsky
Juan Gabriel Vasquez,9,Conversation in the Cathedral,Mario Vargas Llosa
Juan Gabriel Vasquez,10,Light in August,William Faulkner
Fiona Sturges,1,Beloved,Toni Morrison
Fiona Sturges,2,Wolf Hall,Hilary Mantel
Fiona Sturges,3,Leviathan,Paul Auster
Fiona Sturges,4,Jane Eyre,Charlotte Brontë
Fiona Sturges,5,To Kill a Mockingbird,Harper Lee
Fiona Sturges,6,Atonement,Ian McEwan
Fiona Sturges,7,Possession,A. S. Byatt
Fiona Sturges,8,The Prime of Miss Jean Brodie,Muriel Spark
Fiona Sturges,9,James,Percival L. Everett
Fiona Sturges,10,The Handmaid's Tale,Margaret Atwood
Rishi Dastidar,1,The Golden Gate,Vikram Seth
Rishi Dastidar,2,Anna Karenina,Leo Tolstoy
Rishi Dastidar,3,Middlemarch,George Eliot
Rishi Dastidar,4,Vanity Fair,William Makepeace Thackeray
Rishi Dastidar,5,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne
Rishi Dastidar,6,Wittgenstein's Mistress,David Markson
Rishi Dastidar,7,Midnight's Children,Salman Rushdie
Rishi Dastidar,8,A Place of Greater Safety,Hilary Mantel
Rishi Dastidar,9,The Radetzky March,Joseph Roth
Rishi Dastidar,10,Oscar & Lucinda,Peter Carey
Jude Cook,1,Mansfield Park,Jane Austen
Jude Cook,2,Bleak House,Charles Dickens
Jude Cook,3,Vanity Fair,William Makepeace Thackeray
Jude Cook,4,The Return of the Native,Thomas Hardy
Jude Cook,5,The Age of Innocence,Edith Wharton
Jude Cook,6,The Waves,Virginia Woolf
Jude Cook,7,Tender Is the Night,F. Scott Fitzgerald
Jude Cook,8,Herzog,Saul Bellow
Jude Cook,9,Beloved,Toni Morrison
Jude Cook,10,The Buddha of Suburbia,Hanif Kureishi
Pratinav Anil,1,In Search of Lost Time,Marcel Proust
