voter,position,title,author
Katharine Viner,10,Drive Your Plow Over the Bones of the Dead,Olga Tokarczuk
Joanne Harris,1,Farenheit 451,Ray Bradbury
Joanne Harris,2,Nights at the Circus,Angela Carter
Joanne Harris,3,We Have Always Lived in the Castle,Shirley Jackson
Joanne Harris,4,The Outsider,Albert Camus
Joanne Harris,5,Wuthering Heights,Emily Brontë
Joanne Harris,6,"To Be Taught, If Fortunate",Becky Chambers
Joanne Harris,7,Gormenghast,Mervyn Peake
Joanne Harris,8,The Famished Road,Ben Okri
Joanne Harris,9,Kafka on the Shore,Haruki Murakami
Joanne Harris,10,Small Island,Andrea Levy
Sarah Waters,1,Bleak House,Charles Dickens
Sarah Waters,2,Midnight's Children,Salman Rushdie
Sarah Waters,3,Housekeeping,Marilynne Robinson
Sarah Waters,4,Anna Karenina,Leo Tolstoy
Sarah Waters,5,The Road,Cormac McCarthy
Sarah Waters,6,Austerlitz,WG Sebald
Sarah Waters,7,Blindness,José Saramago
Sarah Waters,8,Memento Mori,Muriel Spark
Sarah Waters,9,One Hundred Years of Solitude,Gabriel García Márquez
Sarah Waters,10,Things Fall Apart,Chinua Achebe
Amit Chaudhuri,1,The Enigma of Arrival,V. S. Naipaul
Amit Chaudhuri,2,A Portrait of the Artist as a Young Man,James Joyce
Amit Chaudhuri,3,A House for Mr Biswas,VS Naipaul
Amit Chaudhuri,4,Swami and Friends,R. K. Narayan
Amit Chaudhuri,5,Pather Panchali,Bibhutibhushan Bandyopadhyay
Amit Chaudhuri,6,Samskara,U. R. Anantha Murthy
Amit Chaudhuri,7,Sport and a Pastime,James Salter
Amit Chaudhuri,8,The Great Gatsby,F Scott Fitzgerald
Amit Chaudhuri,9,The Moviegoer,Walker Percy
Amit Chaudhuri,10,The Sportswriter,Richard Ford
Ian Patterson,1,In Search of Lost Time,Marcel Proust
Ian Patterson,2,The Golden Bowl,Henry James
Ian Patterson,3,Emma,Jane Austen
Ian Patterson,4,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne
Ian Patterson,5,Molloy,Samuel Beckett
Ian Patterson,6,The Man Without Qualities,Robert Musil
Ian Patterson,7,Caught,Henry Green
Ian Patterson,8,The Spiral Ascent,Edward Upward
Ian Patterson,9,Elders and Betters,Ivy Compton-Burnett
Ian Patterson,10,The Death of the Heart,Elizabeth Bowen
Beejay Silcox,1,Praiseworthy,Alexis Wright
Beejay Silcox,2,Frankenstein,Mary Shelley
Beejay Silcox,3,Never Let Me Go,Kazuo Ishiguro
Beejay Silcox,4,The Handmaid's Tale,Margaret Atwood
Beejay Silcox,5,Nineteen Eighty-Four,George Orwell
Beejay Silcox,6,The Hitch Hiker's Guide to the Galaxy,Douglas Adams
Beejay Silcox,7,The Left Hand of Darkness,Ursula K Le Guin
Beejay Silcox,8,The Stand,Stephen King
Beejay Silcox,9,Piranesi,Susanna Clarke
Beejay Silcox,10,Parable of the Sower,Octavia E. Butler
Christobel Kent,1,The Leopard,Giuseppe Tomasi di Lampedusa
Christobel Kent,2,Sentimental Education,Gustave Flaubert
Christobel Kent,3,War and Peace,Leo Tolstoy
Christobel Kent,4,The House of Mirth,Edith Wharton
Christobel Kent,5,A Farewell to Arms,Ernest Hemingway
Christobel Kent,6,The Great Gatsby,F Scott Fitzgerald
Christobel Kent,7,Vanity Fair,William Makepeace Thackeray
Christobel Kent,8,The Betrothed,Alessandro Manzoni
Christobel Kent,9,"Rabbit, Run",John Updike
Christobel Kent,10,The Birthday Boys,Beryl Bainbridge
Charlotte Mendelson,1,War and Peace,Leo Tolstoy
Charlotte Mendelson,2,David Copperfield,Charles Dickens
Charlotte Mendelson,3,Middlemarch,George Eliot
Charlotte Mendelson,4,Bleak House,Charles Dickens
Charlotte Mendelson,5,A Place of Greater Safety,Hilary Mantel
Charlotte Mendelson,6,Villette,Charlotte Brontë
Charlotte Mendelson,7,The Transit of Venus,Shirley Hazzard
Charlotte Mendelson,8,Giovanni's Room,James Baldwin
Charlotte Mendelson,9,Sense and Sensibility,Jane Austen
Charlotte Mendelson,10,The Haunting of Hill House,Shirley Jackson
Olivia Laing,1,In Search of Lost Time,Marcel Proust
Olivia Laing,2,The Garden of the Finzi-Continis,Giorgio Bassani
Olivia Laing,3,The Leopard,Giuseppe Tomasi di Lampedusa
Olivia Laing,4,Persuasion,Jane Austen
Olivia Laing,5,Bleak House,Charles Dickens
Olivia Laing,6,Robinson Crusoe,Daniel Defoe
Olivia Laing,7,The Girls of Slender Means,Muriel Spark
Olivia Laing,8,Riddley Walker,Russell Hoban
Olivia Laing,9,The Rings of Saturn,WG Sebald
Olivia Laing,10,The Talented Mr Ripley,Patricia Highsmith
Julie Myerson,1,To the Lighthouse,Virginia Woolf
Julie Myerson,2,The Remains of the Day,Kazuo Ishiguro
Julie Myerson,3,All That Is,James Salter
Julie Myerson,4,Fingersmith,Sarah Waters
Julie Myerson,5,The Great Gatsby,F Scott Fitzgerald
Julie Myerson,6,Beloved,Toni Morrison
Julie Myerson,7,Wuthering Heights,Emily Brontë
Julie Myerson,8,Felicia's Journey,William Trevor
Julie Myerson,9,Strangers,Anita Brookner
Julie Myerson,10,The Turn of the Screw,Henry James
PD Smith,1,The Man Without Qualities,Robert Musil
PD Smith,2,Berlin Alexanderplatz,Alfred Döblin
PD Smith,3,The Trial,Franz Kafka
PD Smith,4,Bleak House,Charles Dickens
PD Smith,5,The Maltese Falcon,Dashiell Hammett
PD Smith,6,The Big Sleep,Raymond Chandler
PD Smith,7,American Tabloid,James Ellroy
PD Smith,8,Titus Groan,Mervyn Peake
PD Smith,9,Smiley's People,John le Carré
PD Smith,10,The Valley of Fear,Arthur Conan Doyle
Lara Feigel,1,War and Peace,Leo Tolstoy
Lara Feigel,2,Anna Karenina,Leo Tolstoy
Lara Feigel,3,Middlemarch,George Eliot
Lara Feigel,4,The Rainbow,DH Lawrence
Lara Feigel,5,To the Lighthouse,Virginia Woolf
Lara Feigel,6,The Golden Notebook,Doris Lessing
Lara Feigel,7,Bleak House,Charles Dickens
Lara Feigel,8,The Portrait of a Lady,Henry James
Lara Feigel,9,Their Eyes Were Watching God,Zora Neale Hurston
Lara Feigel,10,Jane Eyre,Charlotte Brontë
Sian Cain,1,The Age of Innocence,Edith Wharton
Sian Cain,2,The Mirror and the Light,Hilary Mantel
Sian Cain,3,Catch-22,Joseph Heller
Sian Cain,4,Frankenstein,Mary Shelley
Sian Cain,5,The Handmaid's Tale,Margaret Atwood
Sian Cain,6,The Collector,John Fowles
Sian Cain,7,Praiseworthy,Alexis Wright
Sian Cain,8,The Secret History,Donna Tartt
Sian Cain,9,The Remains of the Day,Kazuo Ishiguro
Sian Cain,10,Nineteen Eighty-Four,George Orwell
Daniel Kehlmann,1,War and Peace,Leo Tolstoy
Daniel Kehlmann,2,In Search of Lost Time,Marcel Proust
Daniel Kehlmann,3,Anna Karenina,Leo Tolstoy
Daniel Kehlmann,4,The Radetzky March,Joseph Roth
Daniel Kehlmann,5,Sorrows of Young Werther,Johann Wolfgang von Goethe
Daniel Kehlmann,6,Elective Affinities,Johann Wolfgang von Goethe
Daniel Kehlmann,7,The Idiot,Fyodor Dostoevsky
Daniel Kehlmann,8,The Magic Mountain,Thomas Mann
Daniel Kehlmann,9,Simplicissimus,Hans Jakob Christoffel von Grimmelshausen
Daniel Kehlmann,10,Ragtime,EL Doctorow
William Boyd,1,Ulysses,James Joyce
William Boyd,2,In Search of Lost Time,Marcel Proust
William Boyd,3,Emma,Jane Austen
William Boyd,4,Pale Fire,Vladimir Nabokov
William Boyd,5,Our Mutual Friend,Charles Dickens
William Boyd,6,Scoop,Evelyn Waugh
William Boyd,7,Mill on the Floss,George Eliot
William Boyd,8,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne
William Boyd,9,The Trial,Franz Kafka
William Boyd,10,Wuthering Heights,Emily Brontë
Siri Hustvedt,1,Wuthering Heights,Emily Brontë
Siri Hustvedt,2,To the Lighthouse,Virginia Woolf
Siri Hustvedt,3,Bleak House,Charles Dickens
Siri Hustvedt,4,Middlemarch,George Eliot
Siri Hustvedt,5,Moby-Dick,Herman Melville
Siri Hustvedt,6,Pride and Prejudice,Jane Austen
Siri Hustvedt,7,The Scarlet Letter,Nathaniel Hawthorne
Siri Hustvedt,8,Ulysses,James Joyce
Siri Hustvedt,9,Beloved,Toni Morrison
Siri Hustvedt,10,Waiting for the Barbarians,J. M. Coetzee
Joshua Cohen,1,The Adventures of Oliver Twist,Charles Dickens
Joshua Cohen,2,Trilby,George du Maurier
Joshua Cohen,3,Roxana,Daniel Defoe
Joshua Cohen,4,The Monk,Matthew Gregory Lewis
Joshua Cohen,5,Parade's End,Ford Madox Ford
Joshua Cohen,6,The Way We Live Now,Anthony Trollope
Joshua Cohen,7,Vile Bodies,Evelyn Waugh
Joshua Cohen,8,Point Counter Point,Aldous Huxley
Joshua Cohen,9,Stamboul Train,Graham Greene
Joshua Cohen,10,Dracula,Bram Stoker
Geoff Dyer,1,Middlemarch,George Eliot
Geoff Dyer,2,Lonesome Dove,Larry McMurtry
Geoff Dyer,3,War and Peace,Leo Tolstoy
Geoff Dyer,4,The Portrait of a Lady,Henry James
Geoff Dyer,5,The Age of Innocence,Edith Wharton
Geoff Dyer,6,Great Expectations,Charles Dickens
Geoff Dyer,7,The Transit of Venus,Shirley Hazzard
Geoff Dyer,8,The Names,Don DeLillo
Geoff Dyer,9,Voyage in the Dark,Jean Rhys
Geoff Dyer,10,On the Road,Jack Kerouac
Adam Roberts,1,The Lord of the Rings,J.R.R. Tolkien
Adam Roberts,2,Middlemarch,George Eliot
Adam Roberts,3,Things Fall Apart,Chinua Achebe
Adam Roberts,4,Earthsea,Ursula K. Le Guin
Adam Roberts,5,Pnin,Vladimir Nabokov
Adam Roberts,6,Bleak House,Charles Dickens
Adam Roberts,7,The Heart of Midlothian,Walter Scott
Adam Roberts,8,The War of the Worlds,H. G. Wells
Adam Roberts,9,Beloved,Toni Morrison
Adam Roberts,10,The Inverted World,Christopher Priest
Candice Carty Williams,1,Citizen,Claudia Rankine
Candice Carty Williams,2,Bridget Jones's Diary,Helen Fielding
Candice Carty Williams,3,Nightcrawling,Leila Mottley
Candice Carty Williams,4,Where We Come From,Oscar Casares
Candice Carty Williams,5,Poor,Caleb Femi
Candice Carty Williams,6,Nineteen Eighty-Four,George Orwell
Candice Carty Williams,7,The Metamorphosis,Franz Kafka
Candice Carty Williams,8,Noughts & Crosses,Malorie Blackman
Candice Carty Williams,9,Beloved,Toni Morrison
Candice Carty Williams,10,Sister Outsider,Audre Lorde
M. John Harrison,1,House on the Borderland,William Hope Hodgson
M. John Harrison,2,Jacob's Room,Virginia Woolf
M. John Harrison,3,"Good Morning, Midnight",Jean Rhys
M. John Harrison,4,The Journal of Albion Moonlight,Kenneth Patchen
M. John Harrison,5,The Spider's House,Paul Bowles
M. John Harrison,6,Who Was Changed and Who Was Dead,Barbara Comyns
M. John Harrison,7,The Unicorn,Iris Murdoch
M. John Harrison,8,Europe After the Rain,Alan Burns
M. John Harrison,9,Never Let Me Go,Kazuo Ishiguro
M. John Harrison,10,After Sappho,Selby Wynn Schwartz
Yagnishsing Dawoor,1,One Hundred Years of Solitude,Gabriel García Márquez
Yagnishsing Dawoor,2,Midnight's Children,Salman Rushdie
Yagnishsing Dawoor,3,Beloved,Toni Morrison
Yagnishsing Dawoor,4,The God of Small Things,Arundhati Roy
Yagnishsing Dawoor,5,Waiting for the Barbarians,J. M. Coetzee
Yagnishsing Dawoor,6,Half of a Yellow Sun,Chimamanda Ngozi Adichie
Yagnishsing Dawoor,7,White Teeth,Zadie Smith
Yagnishsing Dawoor,8,Paradise,Abdulrazak Gurnah
Yagnishsing Dawoor,9,The Remains of the Day,Kazuo Ishiguro
Yagnishsing Dawoor,10,Septology,Jon Fosse
Lorrie Moore,1,A Flag for Sunrise,Robert Stone
Lorrie Moore,2,Light in August,William Faulkner
Lorrie Moore,3,Lives of Girls and Women,Alice Munro
Lorrie Moore,4,Beloved,Toni Morrison
Lorrie Moore,5,The Child in Time,Ian McEwan
Lorrie Moore,6,The Remains of the Day,Kazuo Ishiguro
Lorrie Moore,7,The Decameron of Boccaccio,Giovanni Boccaccio
Lorrie Moore,8,Middlemarch,George Eliot
Lorrie Moore,9,Emma,Jane Austen
Lorrie Moore,10,Washington Square,Henry James
Michael Chabon,1,Moby-Dick,Herman Melville
Michael Chabon,2,Orlando,Virginia Woolf
Michael Chabon,3,Love in the Time of Cholera,Gabriel García Márquez
Michael Chabon,4,Pride and Prejudice,Jane Austen
Michael Chabon,5,The Golden Bowl,Henry James
Michael Chabon,6,Gravity's Rainbow,Thomas Pynchon
Michael Chabon,7,"So Long, See You Tomorrow",William Maxwell
Michael Chabon,8,The Lord of the Rings,J.R.R. Tolkien
Michael Chabon,9,Aubrey-Maturin Series,Patrick O'Brian
Michael Chabon,10,The Left Hand of Darkness,Ursula K Le Guin
Claire Armitstead,1,War and Peace,Leo Tolstoy
Claire Armitstead,2,Emma,Jane Austen
Claire Armitstead,3,One Hundred Years of Solitude,Gabriel García Márquez
Claire Armitstead,4,Ulysses,James Joyce
Claire Armitstead,5,The Color Purple,Alice Walker
Claire Armitstead,6,Things Fall Apart,Chinua Achebe
Claire Armitstead,7,Don Quixote,Miguel de Cervantes
Claire Armitstead,8,Middlemarch,George Eliot
Claire Armitstead,9,Jane Eyre,Charlotte Brontë
Claire Armitstead,10,Moby-Dick,Herman Melville
Jacqueline Rose,1,In Search of Lost Time,Marcel Proust
Jacqueline Rose,2,Daniel Deronda,George Eliot
Jacqueline Rose,3,Ulysses,James Joyce
Jacqueline Rose,4,Beloved,Toni Morrison
Jacqueline Rose,5,The Golden Bowl,Henry James
Jacqueline Rose,6,The Waves,Virginia Woolf
Jacqueline Rose,7,A Girl Is a Half-Formed Thing,Eimear McBride
Jacqueline Rose,8,Milkman,Anna Burns
Jacqueline Rose,9,Their Eyes Were Watching God,Zora Neale Hurston
Jacqueline Rose,10,A Question of Power,Bessie Head
Yiyun Li,1,Middlemarch,George Eliot
Yiyun Li,2,Persuasion,Jane Austen
Yiyun Li,3,Moby-Dick,Herman Melville
Yiyun Li,4,War and Peace,Leo Tolstoy
Yiyun Li,5,To the Lighthouse,Virginia Woolf
Yiyun Li,6,A Farewell to Arms,Ernest Hemingway
Yiyun Li,7,The Story of Lucy Gault,William Trevor
Yiyun Li,8,The Transit of Venus,Shirley Hazzard
Yiyun Li,9,Housekeeping,Marilynne Robinson
Yiyun Li,10,White Teeth,Zadie Smith
Lucas Rijneveld,1,Frankenstein,Mary Shelley
Lucas Rijneveld,2,Slaughterhouse-Five,Kurt Vonnegut
Lucas Rijneveld,3,Grief Is the Thing With Feathers,Max Porter
Lucas Rijneveld,4,The Hobbit,J.R.R. Tolkien
Lucas Rijneveld,5,Lolita,Vladimir Nabokov
Lucas Rijneveld,6,Drive Your Plow Over the Bones of the Dead,Olga Tokarczuk
Lucas Rijneveld,7,The Fall of the House of Usher,Edgar Allan Poe
Lucas Rijneveld,8,Emily Wilde's Encyclopaedia of Faeries,Heather Fawcett
Lucas Rijneveld,9,Bear,Marian Engel
Lucas Rijneveld,10,On Earth We're Briefly Gorgeous,Ocean Vuong
Colum McCann,1,Ulysses,James Joyce
Colum McCann,2,Proxopera,Benedict Kiely
Colum McCann,3,At Swim-Two-Birds,Flann O'Brien
Colum McCann,4,Song of Solomon,Toni Morrison
Colum McCann,5,Coming Through Slaughter,Michael Ondaatje
Colum McCann,6,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne
Colum McCann,7,Nineteen Eighty-Four,George Orwell
Colum McCann,8,The Grapes of Wrath,John Steinbeck
Colum McCann,9,Ragtime,EL Doctorow
Colum McCann,10,A Room of One's Own,Virginia Woolf
Jeet Thayil,1,Rig Veda,Anonymous
Jeet Thayil,2,The Divine Comedy,Dante Alighieri
Jeet Thayil,3,Ulysses,James Joyce
Jeet Thayil,4,One Hundred Years of Solitude,Gabriel García Márquez
Jeet Thayil,5,2666,Roberto Bolaño
Jeet Thayil,6,Pale Fire,Vladimir Nabokov
Jeet Thayil,7,Midnight's Children,Salman Rushdie
Jeet Thayil,8,White Teeth,Zadie Smith
Jeet Thayil,9,All About H. Hatterr,G. V. Desani
Jeet Thayil,10,Silent Spring,Rachel Carson
Derek Owusu,1,Invisible Man,Ralph Ellison
Derek Owusu,2,The Real Life of Sebastian Knight,Vladimir Nabokov
Derek Owusu,3,The Great Gatsby,F Scott Fitzgerald
Derek Owusu,4,Go Tell It on the Mountain,James Baldwin
Derek Owusu,5,Things Fall Apart,Chinua Achebe
Derek Owusu,6,White Teeth,Zadie Smith
Derek Owusu,7,Heart of Darkness,Joseph Conrad
Derek Owusu,8,The Grass Is Singing,Doris Lessing
Derek Owusu,9,The Coming Bad Days,Sarah Bernstein
Derek Owusu,10,Kafka on the Shore,Haruki Murakami
Douglas Stuart,1,Beloved,Toni Morrison
Douglas Stuart,2,Jude the Obscure,Thomas Hardy
Douglas Stuart,3,The Brothers Karamazov,Fyodor Dostoyevsky
Douglas Stuart,4,Disgrace,JM Coetzee
Douglas Stuart,5,A Kestrel for a Knave,Barry Hines
Douglas Stuart,6,The Line of Beauty,Alan Hollinghurst
Douglas Stuart,7,Trainspotting,Irvine Welsh
Douglas Stuart,8,My Brilliant Friend,Elena Ferrante
Douglas Stuart,9,"How Late It Was, How Late",James Kelman
Douglas Stuart,10,Lolita,Vladimir Nabokov
Joe Dunthorne,1,The Rings of Saturn,WG Sebald
Joe Dunthorne,2,Blood Meridian,Cormac McCarthy
Joe Dunthorne,3,Housekeeping,Marilynne Robinson
Joe Dunthorne,4,White Noise,Don DeLillo
Joe Dunthorne,5,Two Serious Ladies,Jane Bowles
Joe Dunthorne,6,The Talented Mr Ripley,Patricia Highsmith
Joe Dunthorne,7,Ragtime,EL Doctorow
Joe Dunthorne,8,The Remains of the Day,Kazuo Ishiguro
Joe Dunthorne,9,True History of the Kelly Gang,Peter Carey
Joe Dunthorne,10,The Third Policeman,Flann O'Brien
Sarah Bakewell,1,The Magic Mountain,Thomas Mann
Sarah Bakewell,2,In Search of Lost Time,Marcel Proust
Sarah Bakewell,3,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne
Sarah Bakewell,4,War and Peace,Leo Tolstoy
Sarah Bakewell,5,Life and Fate,Vasily Grossman
Sarah Bakewell,6,Nineteen Eighty-Four,George Orwell
Sarah Bakewell,7,Alice's Adventures in Wonderland,Lewis Carroll
Sarah Bakewell,8,Middlemarch,George Eliot
Sarah Bakewell,9,Howards End,EM Forster
Sarah Bakewell,10,The Gormenghast Novels,Mervyn Peake
Kate Mosse,1,Wuthering Heights,Emily Brontë
Kate Mosse,2,Sleeping Murder,Agatha Christie
Kate Mosse,3,The Bluest Eye,Toni Morrison
Kate Mosse,4,Demon Copperhead,Barbara Kingsolver
Kate Mosse,5,The Turn of the Screw,Henry James
Kate Mosse,6,The Tale of Genji,Murasaki Shikibu
Kate Mosse,7,The Street,Ann Petry
Kate Mosse,8,The Amazing Mr Blunden,Antonia Barber
Kate Mosse,9,The Pilgrim's Progress,John Bunyan
Kate Mosse,10,Frankenstein,Mary Shelley
Philippe Sands,1,Soldiers of Salamis,Javier Cercas
Philippe Sands,2,The Trial,Franz Kafka
Philippe Sands,3,Human Acts,Han Kang
Philippe Sands,4,Life and Fate,Vasily Grossman
Philippe Sands,5,By Night in Chile,Roberto Bolaño
Philippe Sands,6,Commonwealth,Ann Patchett
Philippe Sands,7,The Master and Margarita,Mikhail Bulgakov
Philippe Sands,8,The Man Who Planted Trees,Jean Giono
Philippe Sands,9,Afterlives,Abdulrazak Gurnah
Philippe Sands,10,The Line of Beauty,Alan Hollinghurst
Katherine Rundell,1,Emma,Jane Austen
Katherine Rundell,2,Middlemarch,George Eliot
Katherine Rundell,3,Frankenstein,Mary Shelley
Katherine Rundell,4,Beloved,Toni Morrison
Katherine Rundell,5,Gilead,Marilynne Robinson
Katherine Rundell,6,Alice's Adventures in Wonderland,Lewis Carroll
Katherine Rundell,7,The Brothers Karamazov,Fyodor Dostoyevsky
Katherine Rundell,8,Wolf Hall,Hilary Mantel
Katherine Rundell,9,Moominland Midwinter,Tove Jansson
Katherine Rundell,10,The Count of Monte Cristo,Alexandre Dumas
Natasha Walter,1,The Years,Annie Ernaux
Natasha Walter,2,Beloved,Toni Morrison
Natasha Walter,3,War and Peace,Leo Tolstoy
Natasha Walter,4,All Our Yesterdays,Natalia Ginzburg
Natasha Walter,5,Things Fall Apart,Chinua Achebe
Natasha Walter,6,To the Lighthouse,Virginia Woolf
Natasha Walter,7,My Brilliant Friend,Elena Ferrante
Natasha Walter,8,Nervous Conditions,Tsitsi Dangarembga
Natasha Walter,9,The Golden Notebook,Doris Lessing
Natasha Walter,10,Sons and Lovers,D. H. Lawrence
Kevin Power,1,Ulysses,James Joyce
Kevin Power,2,Lolita,Vladimir Nabokov
Kevin Power,3,Mrs Dalloway,Virginia Woolf
Kevin Power,4,Money,Martin Amis
Kevin Power,5,The Sound and the Fury,William Faulkner
Kevin Power,6,Heart of Darkness,Joseph Conrad
Kevin Power,7,Madame Bovary,Gustave Flaubert
Kevin Power,8,The Corrections,Jonathan Franzen
Kevin Power,9,Herzog,Saul Bellow
Kevin Power,10,The Portrait of a Lady,Henry James
Kathryn Hughes,1,Middlemarch,George Eliot
Kathryn Hughes,2,Jane Eyre,Charlotte Brontë
Kathryn Hughes,3,Bleak House,Charles Dickens
Kathryn Hughes,4,Pride and Prejudice,Jane Austen
Kathryn Hughes,5,Orlando,Virginia Woolf
Kathryn Hughes,6,Cranford,Elizabeth Gaskell
Kathryn Hughes,7,Brideshead Revisited,Evelyn Waugh
Kathryn Hughes,8,Midnight's Children,Salman Rushdie
Kathryn Hughes,9,Flaubert's Parrot,Julian Barnes
Kathryn Hughes,10,The Turn of the Screw,Henry James
Maya Jasanoff,1,Middlemarch,George Eliot
Maya Jasanoff,2,Bleak House,Charles Dickens
Maya Jasanoff,3,Anna Karenina,Leo Tolstoy
Maya Jasanoff,4,Buddenbrooks,Thomas Mann
Maya Jasanoff,5,Mrs Dalloway,Virginia Woolf
Maya Jasanoff,6,Heart of Darkness,Joseph Conrad
Maya Jasanoff,7,Sentimental Education,Gustave Flaubert
Maya Jasanoff,8,A House for Mr Biswas,VS Naipaul
Maya Jasanoff,9,The Adventures of Augie March,Saul Bellow
Maya Jasanoff,10,A Suitable Boy,Vikram Seth
Sukhdev Sandhu,1,Three Men in a Boat,Jerome K. Jerome
Sukhdev Sandhu,2,Berlin Alexanderplatz,Alfred Döblin
Sukhdev Sandhu,3,Jude the Obscure,Thomas Hardy
Sukhdev Sandhu,4,Germinal,Émile Zola
Sukhdev Sandhu,5,A House for Mr Biswas,VS Naipaul
Sukhdev Sandhu,6,The Man Without Qualities,Robert Musil
Sukhdev Sandhu,7,Swami and Friends,R. K. Narayan
Sukhdev Sandhu,8,Too Loud a Solitude,Bohumil Hrabal
Sukhdev Sandhu,9,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne
Sukhdev Sandhu,10,The Fish Can Sing,Halldór Laxness
Lisa Tuttle,1,The Handmaid's Tale,Margaret Atwood
Lisa Tuttle,2,Sentimental Education,Gustave Flaubert
Lisa Tuttle,3,The Turn of the Screw,Henry James
Lisa Tuttle,4,Bleak House,Charles Dickens
Lisa Tuttle,5,Persuasion,Jane Austen
Lisa Tuttle,6,Kindred,Octavia E Butler
Lisa Tuttle,7,Jane Eyre,Charlotte Brontë
Lisa Tuttle,8,The Great Gatsby,F Scott Fitzgerald
Lisa Tuttle,9,The Tale of Genji,Murasaki Shikibu
Lisa Tuttle,10,The Golden Notebook,Doris Lessing
David Diop,1,Black Boy,Richard Wright
David Diop,2,The Trial,Franz Kafka
David Diop,3,Memoirs of Hadrian,Marguerite Yourcenar
David Diop,4,Seasons of Anomy,Wole Soyinka
David Diop,5,Allah Is Not Obliged,Ahmadou Kourouma
David Diop,6,A River Called Time,Mia Couto
David Diop,7,One Hundred Years of Solitude,Gabriel García Márquez
David Diop,8,Paradise,Abdulrazak Gurnah
David Diop,9,Crooked Plow,Itamar Vieira Junior
David Diop,10,Tar Baby,Toni Morrison
Sayaka Murata,1,The Stranger,Albert Camus
Sayaka Murata,2,The Vegetarian,Han Kang
Sayaka Murata,3,The Metamorphosis,Franz Kafka
Sayaka Murata,4,Record of a Night Too Brief,Kawakami Hiromi
Sayaka Murata,5,Never Let Me Go,Kazuo Ishiguro
Sayaka Murata,6,No Longer Human,Osamu Dazai
Sayaka Murata,7,The Memory Police,Yoko Ogawa
Sayaka Murata,8,Ice,Anna Kavan
Sayaka Murata,9,Confessions of a Mask,Yukio Mishima
Sayaka Murata,10,Scattered All Over the Earth,Yoko Tawada
Adam Thirlwell,1,War and Peace,Leo Tolstoy
Adam Thirlwell,2,In Search of Lost Time,Marcel Proust
Adam Thirlwell,3,The Man Without Qualities,Robert Musil
Adam Thirlwell,4,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne
Adam Thirlwell,5,Orlando,Virginia Woolf
Adam Thirlwell,6,I Served the King of England,Bohumil Hrabal
Adam Thirlwell,7,The Trial,Franz Kafka
Adam Thirlwell,8,The Autobiography of Alice B. Toklas,Gertrude Stein
Adam Thirlwell,9,"Life, a User's Manual",Georges Perec
Adam Thirlwell,10,Chéri,Colette
Melissa Broder,1,Madame Bovary,Gustave Flaubert
Melissa Broder,2,The Age of Innocence,Edith Wharton
Melissa Broder,3,Ivan Ilyitch,Leo Tolstoy
Melissa Broder,4,Woodcutters,Thomas Bernhard
Melissa Broder,5,Death in Venice,Thomas Mann
Melissa Broder,6,Lolita,Vladimir Nabokov
Melissa Broder,7,The Passion According to G.h.,Clarice Lispector
Melissa Broder,8,Middlemarch,George Eliot
Melissa Broder,9,Mrs Dalloway,Virginia Woolf
Melissa Broder,10,Portnoy's Complaint,Philip Roth
Jack Edwards,1,Sula,Toni Morrison
Jack Edwards,2,Emma,Jane Austen
Jack Edwards,3,Nineteen Eighty-Four,George Orwell
Jack Edwards,4,The Good Soldier,Ford Madox Ford
Jack Edwards,5,A Little Life,Hanya Yanagihara
Jack Edwards,6,The God of Small Things,Arundhati Roy
Jack Edwards,7,The Picture of Dorian Gray,Oscar Wilde
Jack Edwards,8,To the Lighthouse,Virginia Woolf
Jack Edwards,9,Wide Sargasso Sea,Jean Rhys
Jack Edwards,10,Martyr!,Kaveh Akbar
Elif Shafak,1,One Hundred Years of Solitude,Gabriel García Márquez
Elif Shafak,2,Don Quixote,Miguel de Cervantes
Elif Shafak,3,Ulysses,James Joyce
Elif Shafak,4,The Metamorphosis,Franz Kafka
Elif Shafak,5,Orlando,Virginia Woolf
Elif Shafak,6,Madame Bovary,Gustave Flaubert
Elif Shafak,7,The Bell Jar,Sylvia Plath
Elif Shafak,8,The Name of the Rose,Umberto Eco
Elif Shafak,9,Rebecca,Daphne du Maurier
Elif Shafak,10,The Master and Margarita,Mikhail Bulgakov
Maya Jaggi,1,Anna Karenina,Leo Tolstoy
Maya Jaggi,2,A Portrait of the Artist as a Young Man,James Joyce
Maya Jaggi,3,The Tin Drum,Günter Grass
Maya Jaggi,4,The Bluest Eye,Toni Morrison
Maya Jaggi,5,In the Skin of a Lion,Michael Ondaatje
Maya Jaggi,6,Maps,Nuruddin Farah
Maya Jaggi,7,A Mind at Peace,Ahmet Hamdi Tanpınar
Maya Jaggi,8,On the Edge of Reason,Miroslav Krleža
Maya Jaggi,9,The Dew Breaker,Edwidge Danticat
Maya Jaggi,10,Eighth Life,Nino Haratischvili
Matt Haig,1,Invisible Cities,Italo Calvino
Matt Haig,2,Wuthering Heights,Emily Brontë
Matt Haig,3,The Outsiders,S. E. Hinton
