title,author,score
Cranford,Elizabeth Gaskell,52
Gravity's Rainbow,Thomas Pynchon,52
Light Years,James Salter,52
Small Things Like These,Claire Keegan,52
The Beginning of Spring,Penelope Fitzgerald,52
The Big Sleep,Raymond Chandler,52
The Heart Is a Lonely Hunter,Carson McCullers,52
The Outsider,Albert Camus,52
The Piano Teacher,Elfriede Jelinek,52
The Safekeep,Yael van der Wouden,52
Loitering With Intent,Muriel Spark,52
A Wizard of Earthsea,Ursula K. Le Guin,51
All Our Yesterdays,Natalia Ginzburg,51
Bring up the Bodies,Hilary Mantel,51
Commonwealth,Ann Patchett,51
Daniel Deronda,George Eliot,51
Demon Copperhead,Barbara Kingsolver,51
Fun Home,Alison Bechdel,51
Germinal,Émile Zola,51
Human Acts,Han Kang,51
Lives of Girls and Women,Alice Munro,51
Possession,A. S. Byatt,51
Swami and Friends,R. K. Narayan,51
The Buddha of Suburbia,Hanif Kureishi,51
The Power and the Glory,Graham Greene,51
The Stranger,Albert Camus,51
Too Loud a Solitude,Bohumil Hrabal,51
Afterlives,Abdulrazak Gurnah,50
East of Eden,John Steinbeck,50
Les Misérables,Victor Hugo,50
Nightwood,Djuna Barnes,50
Parade's End,Ford Madox Ford,50
The Bell Jar,Sylvia Plath,50
The English Patient,Michael Ondaatje,50
The Girls of Slender Means,Muriel Spark,50
The Picture of Dorian Gray,Oscar Wilde,50
The Tartar Steppe,Dino Buzzati,50
A Bend in the River,V. S. Naipaul,49
A Place of Greater Safety,Hilary Mantel,49
Alice's Adventures in Wonderland,Lewis Carroll,49
Americanah,Chimamanda Ngozi Adichie,49
Gilead,Marilynne Robinson,49
Tess of the D'urbervilles,Thomas Hardy,49
The Dark Is Rising,Susan Cooper,49
The Radetzky March,Joseph Roth,49
The Secret History,Donna Tartt,49
The Sellout,Paul Beatty,49
Wise Children,Angela Carter,49
A Handful of Dust,Evelyn Waugh,48
"Life, a User's Manual",Georges Perec,48
The Hitch Hiker's Guide to the Galaxy,Douglas Adams,48
Lanark,Alasdair Gray,47
Life After Life,Kate Atkinson,47
Sons and Lovers,D. H. Lawrence,47
Tamarisk Row,Gerald Murnane,47
Waiting for the Barbarians,J. M. Coetzee,47
Outline,Rachel Cusk,47
Station Eleven,Emily St. John Mandel,47
The Corrections,Jonathan Franzen,47
Gulliver's Travels,Jonathan Swift,46
Paradise,Abdulrazak Gurnah,46
Piranesi,Susanna Clarke,46
The Millstone,Margaret Drabble,46
The Third Policeman,Flann O'Brien,46
All Quiet on the Western Front,Erich Maria Remarque,45
Restoration,Rose Tremain,45
Riddley Walker,Russell Hoban,45
The Adventures of Augie March,Saul Bellow,45
The Pilgrim's Progress,John Bunyan,45
The Sun Also Rises,Ernest Hemingway,45
Siddhartha,Hermann Hesse,44
Small Island,Andrea Levy,44
Another Country,James Baldwin,43
Cloud Atlas,David Mitchell,43
Kafka on the Shore,Haruki Murakami,43
Matrix,Lauren Groff,43
Northern Lights,Philip Pullman,43
On the Road,Jack Kerouac,43
Suite Française,Irène Némirovsky,43
The Ambassadors,Henry James,43
A Room of One's Own,Virginia Woolf,42
La Princesse De Cleves,Madame de La Fayette,42
Nora Webster,Colm Tóibín,42
The Count of Monte Cristo,Alexandre Dumas,42
A Flag for Sunrise,Robert Stone,30
A Model Childhood,Christa Wolf,30
A Month in the Country,J. L. Carr,30
Black Boy,Richard Wright,30
Citizen,Claudia Rankine,30
Clarissa Harlowe,Samuel Richardson,30
"Ducks, Newburyport",Lucy Ellmann,30
Farenheit 451,Ray Bradbury,30
House on the Borderland,William Hope Hodgson,30
Latecomers,Anita Brookner,30
Memory of Fire,Eduardo Galeano,30
Miss Smilla's Feeling for Snow,Peter Høeg,30
Old Filth Trilogy,Jane Gardam,30
Rig Veda,Anonymous,30
Savushun,Simin Daneshvar,30
Soldiers of Salamis,Javier Cercas,30
Something Happened,Joseph Heller,30
The Adventures of Oliver Twist,Charles Dickens,30
The Country of the Pointed Firs,Sarah Orne Jewett,30
The Deptford Trilogy,Robertson Davies,30
The Golden Gate,Vikram Seth,30
The Palliser Novels,Anthony Trollope,30
The Song of Achilles,Madeline Miller,30
The Third Lie,Ágota Kristóf,30
Three Men in a Boat,Jerome K. Jerome,30
U.s.a.,John Dos Passos,30
Women in Love,D. H. Lawrence,30
A High Wind in Jamaica,Richard Hughes,29
Animal Farm,George Orwell,29
Arturo's Island,Elsa Morante,29
Bridget Jones's Diary,Helen Fielding,29
Couples,John Updike,29
"Detransition, Baby",Torrey Peters,29
Fire and Hemlock,Diana Wynne Jones,29
Libra,Don DeLillo,29
Mussel Feast,Birgit Vanderbeke,29
Promise at Dawn,Romain Gary,29
Proxopera,Benedict Kiely,29
Red Badge of Courage,Stephen Crane,29
Sleeping Murder,Agatha Christie,29
Strange Tales From a Chinese Studio,Pu Songling,29
The Book of Night Women,Marlon James,29
The Bridge on the Drina,Ivo Andrić,29
The Country Girls,Edna O'Brien,29
The Divine Comedy,Dante Alighieri,29
The Garden of the Finzi-Continis,Giorgio Bassani,29
The House of the Spirits,Isabel Allende,29
The Real Life of Sebastian Knight,Vladimir Nabokov,29
The Siege of Krishnapur,J. G. Farrell,29
The Slap,Christos Tsiolkas,29
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,29
The Tenant of Wildfell Hall,Anne Brontë,29
The Wings of a Dove,Henry James,29
Trilby,George du Maurier,29
Under the Volcano,Malcolm Lowry,29
A Severed Head,Iris Murdoch,28
All That Is,James Salter,28
Arrow of God,Chinua Achebe,28
At Swim-Two-Birds,Flann O'Brien,28
"Clarissa, Or, the History of a Young Lady",Samuel Richardson,28
Family Life,Akhil Sharma,28
Flowers for Algernon,Daniel Keyes,28
Ghost Wall,Sarah Moss,28
"Good Morning, Midnight",Jean Rhys,28
Grief Is the Thing With Feathers,Max Porter,28
Hopscotch,Julio Cortázar,28
Hurricane Season,Fernanda Melchor,28
In Diamond Square,Mercè Rodoreda,28
Ivan Ilyitch,Leo Tolstoy,28
Leviathan,Paul Auster,28
Memoirs of Hadrian,Marguerite Yourcenar,28
Nightcrawling,Leila Mottley,28
North Woods,Daniel Mason,28
Pachinko,Min Jin Lee,28
Roxana,Daniel Defoe,28
Shadows on the Rock,Willa Cather,28
Silas Marner,George Eliot,28
The Bell,Iris Murdoch,28
The Busconductor Hines,James Kelman,28
The Cider House Rules,John Irving,28
The Custom of the Country,Edith Wharton,28
The Lie Tree,Frances Hardinge,28
The Outsiders,S. E. Hinton,28
The Pursuit of Love,Nancy Mitford,28
The Red and the Black,Stendhal,28
"The Sea, the Sea",Iris Murdoch,28
The Shipping News,Annie Proulx,28
The Tale of the 1002nd Night,Joseph Roth,28
The Trees,Percival L. Everett,28
Tongues I,Anders Nilsen,28
A Sentimental Journey,Laurence Sterne,27
A Thousand Splendid Suns,Khaled Hosseini,27
Cousin Bette,Honoré de Balzac,27
"Cry, the Beloved Country",Alan Paton,27
Earthsea,Ursula K. Le Guin,27
Fingersmith,Sarah Waters,27
Foster,Claire Keegan,27
Golden Hill,Francis Spufford,27
Invitation to a Beheading,Vladimir Nabokov,27
Murphy,Samuel Beckett,27
Nostromo,Joseph Conrad,27
Overstory,Richard Powers,27
Record of a Night Too Brief,Kawakami Hiromi,27
Sag Harbor,Colson Whitehead,27
Seasons of Anomy,Wole Soyinka,27
Summertime,J. M. Coetzee,27
Suttree,Cormac McCarthy,27
The Alexandria Quartet,Lawrence Durrell,27
The Hobbit,J.R.R. Tolkien,27
The Improvement of Human Reason,Ibn Tufayl,27
The Journal of Albion Moonlight,Kenneth Patchen,27
The Joys of Motherhood,Buchi Emecheta,27
The Last Samurai,Helen Dewitt,27
The Monk,Matthew Gregory Lewis,27
The Moor's Account,Laila Lalami,27
The Translator,Leila Aboulela,27
Towards the End of the Morning,Michael Frayn,27
Trout Fishing in America,Richard Brautigan,27
Where We Come From,Oscar Casares,27
White Noise,Don DeLillo,27
Woodcutters,Thomas Bernhard,27
A Kestrel for a Knave,Barry Hines,26
After Midnight,Irmgard Keun,26
Alice in Wonderland,Lewis Carroll,26
Allah Is Not Obliged,Ahmadou Kourouma,26
By Night in Chile,Roberto Bolaño,26
Coming Through Slaughter,Michael Ondaatje,26
Grey King,Susan Cooper,26
Heart so White,Javier Marías,26
Home,Marilynne Robinson,26
House of Leaves,Mark Z. Danielewski,26
In the Skin of a Lion,Michael Ondaatje,26
Joseph and His Brothers,Thomas Mann,26
Marabou Stork Nightmares,Irvine Welsh,26
Maus,Art Spiegelman,26
Molloy,Samuel Beckett,26
North and South,Elizabeth Gaskell,26
Notes From the Underground,Fyodor Dostoevsky,26
One Thousand and One Nights,Scheherazade,26
Pather Panchali,Bibhutibhushan Bandyopadhyay,26
Poor,Caleb Femi,26
Sorrows of Young Werther,Johann Wolfgang von Goethe,26
Sudden Death,Álvaro Enrigue,26
The Alchemist,Paulo Coelho,26
The Child in Time,Ian McEwan,26
The Easter Parade,Richard Yates,26
The Employees,Olga Ravn,26
The Hounds of the Morrigan,Pat O'Shea,26
The Loneliness of Sonia and Sunny,Kiran Desai,26
The Maltese Falcon,Dashiell Hammett,26
The Plains,Gerald Murnane,26
The Recognitions,William Gaddis,26
The Satanic Verses,Salman Rushdie,26
The Spider's House,Paul Bowles,26
Two Serious Ladies,Jane Bowles,26
Union Street,Pat Barker,26
Vernon Subutex 1,Virginie Despentes,26
A Boy's Own Story,Edmund White,25
A Guest of Honour,Nadine Gordimer,25
A River Called Time,Mia Couto,25
A Void,Georges Perec,25
All the Names,José Saramago,25
Atonement,Ian McEwan,25
